title,info,file,expires,tags,usage,country
Trend 90 ADJUVANT,"Trend 90, ADJUVANT - Spain",ES_Trend_90_pkg txt_es_pms.eps,Never,"Spain, Trend 90, MOJANTE, SPANISH, Adjuvant","PMS 214 C Pink, PMS 285 C Blue, Black",Spain
Lontrel 600 herbicide,Lontrel 600 SL GYOMIRTÓ SZER,HU_Lontrel_600_pkg_bdg_hu_pms.eps,Never,"Hungary, Lontrel 600 SL GYOMIRTÓ SZER, Hungarian, herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Hungary
Lontrel 600 herbicide,Lontrel 600 SL GYOMIRTÓ SZER,HU_Lontrel_600_pkg_txt_hu_pms.eps,Never,"Hungary, Lontrel 600 SL GYOMIRTÓ SZER, Hungarian, herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Hungary
Thistlex HERBICIDE,Thistlex,GB-IE_Thistlex_pkg_bdg_en_pms.eps,Never,"U.K, Ireland, Thistlex, Herbicide, Triclopyr, Clopyralid, English, Herbicide","PMS 349 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Ireland
Thistlex HERBICIDE,Thistlex,GB-IE_Thistlex_pkg_txt_en_pms.eps,Never,"U.K, Ireland, Thistlex, Herbicide, Triclopyr, Clopyralid, English, Herbicide","PMS 349 C Green, PMS 285 C Blue, Black",Ireland
Verben Fungicide,Verben Fungicyd,PL_Verben_pkg_bdg_pl_pms.eps,Never,"Poland, Verben fungicyd, Polish, fungicide",Black PMS 285 C PMS 513 C PMS 514 C,Poland
Verben Fungicide,Verben Fungicyd,PL_Verben_pkg_txt_pl_pms.eps,Never,"Poland, Verben fungicyd, Polish, fungicide",Black PMS 285 C PMS 513 C,Poland
Acanto Plus Fungicide,"Аканто® Плюс, Фунгицид",RU_Acanto_Plus_SC_Onmira_active_pkg_txt_ru_pms.eps,Never,"Russia, Аканто Плюс, Фунгицид, Onmira™ active, Russian, Fungicide","Black, PMS 513 C Purple, PMS 285 C Blue",
Acanto Plus Fungicide,"Аканто® Плюс, Фунгицид",RU_Acanto_Plus_SC_Onmira_active_pkg_bdg_ru_pms.eps,Never,"Russia, Аканто Плюс, Фунгицид, Onmira™ active, Russian, Fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",
Titus,Titus,DE-AT_Titus_pkg bdg_de_pms.eps,Never,"Austria, Germany, Titus, Herbizid, Rimsulfuron, German, Herbicide",Black PMS 285 C PMS 361 C PMS 376 C,Germany
Titus,Titus,DE-AT_Titus_pkg txt_de_pms.eps,Never,"Austria, Germany, Titus, Herbizid, Rimsulfuron, German, Herbicide",Black PMS 285 C PMS 361 C,Germany
Victus OD Herbicide,Victus OD erbicid,RO_Victus_OD_pkg_bdg_ro_pms.eps,Never,"Romania, Victus OD erbicid, Romanian, herbicide","PMS 361 C Green, PMS 376 C Green, PMS 285 C Blue, Black",Romania
Victus OD Herbicide,Victus OD erbicid,RO_Victus_OD_pkg_txt_ro_pms.eps,Never,"Romania, Victus OD erbicid, Romanian, herbicide","PMS 361 C Green, PMS 285 C Blue, Black",Romania
Zorvec Endavia Fungicide,"ZORVEC ENDAVIA, FUNGICYD",PL_Zorvec_Endavia_pkg_txt_pl_pms.eps,Never,"Poland, Zorvec Endavia fungicyd, Polish, fungicide","Black, PMS 513 C Purple, PMS 285 C Blue",Poland
Zorvec Endavia Fungicide,"ZORVEC ENDAVIA, FUNGICYD",PL_Zorvec_Endavia_pkg_bdg_pl_pms.eps,Never,"Poland, Zorvec Endavia fungicyd, Polish, fungicide","Black, PMS 513 C Purple, PMS 514 C Purple, PMS 285 C Blue",Poland
Lumiposa 625 FS Insecticide Seed Treatment,"Lumiposa 625 FS, INSECTCIDE SEED TREATMENT - Greece",GR_Lumiposa_625_FS_pkg_bdg_el_pms.eps,Never,"Greece, Lumiposa 625 FS, ΕΝΟΜΟΚΤΟΝΟ ΕΠΕΝΔΥΣΗΣ ΣΠΟΡΩΝ, Greek, INSECTCIDE SEED TREATMENT","Black, PMS 7549 C Gold, PMS 128 C Gold, PMS 285 C Blue",Greece
